GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,LOAN_EVER
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
23216.5,7750,9500,14750,14995,10158,10814,10971,9607,10500,11095,35989,22892,4750,2371,0.872325334
26230,9014.5,14764,19120,15764,12875,22000,21500,12000,18750,14947,37500,27125,6794.5,4750,0.921052632
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
23000,11000,17234,16200,14000,15000,18000,17500,14137,17322,15250,41250,28250,7500,4308,0.816633923
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
8916.5,3500,3500,4500,5500,3500,4500,4500,4000,4500,4500,13500,8500,2250,1750,0.424159855
10500,5500,5500,5500,5500,5460,6795,5750,5500,5500,5500,17250,10697,3000,1750,0.537164041
26000,14000,14250,19000,19500,16857,16640.5,PrivacySuppressed,PrivacySuppressed,19000,15625,35605,26000,5750,3440,0.658450704
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
24253,9500,13182,12000,9699.5,13787,10847,13834,11000,13718.5,12000,36688.5,25035.5,5500,2750,0.874331551
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
11500,5500,5500,5500,5500,PrivacySuppressed,PrivacySuppressed,6500,5500,5500,5500,13551,11500,4500,2750,0.825123153
36789.5,9500,11505,14259.5,14250,11000,15970,16750,9500,10862,13461,43519,29500,5500,4019,0.824527071
27000,20000,25000,20500,19450,18750,26648,23750,18750,24250,21255,47000,32813,10500,5500,0.902439024
23266,11000,15000,17000,15000,15000,19210,16061,14250,16500,15000,37000,27000,6500,4078,0.860300619
11250,4500,5000,4500,4250,4200,6750,5250,4500,5250,4500,18306,10270,2750,1750,0.323244552
21500,8250,12000,13405,13552,12000,14078.5,14000,11238,13346,12500,32875,24900,5500,3136,0.833118833
4500,3023,3500,3475,4650,3100,4000,3500,3400,3500,3500,10100,6575,2025,1300,0.157240522
27250,21250,22750,24500,24250,23250,24268,25000,21500,25125,23000,46625,34500,9500,5500,0.893902439
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
20992,14405,13863,18012,16693,21436,15426,PrivacySuppressed,PrivacySuppressed,15366,16406.5,46628,30448,7116,2889,PrivacySuppressed
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
23000,9500,18750,18123.5,15674.5,16799.5,18750,17187.5,17500,18610,17000,33375,26983,8250,5429,0.87100894
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,4900,5050,5050,5500,5050,5275,13300,8250,4600,2300,0.937209302
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
6374,3500,3500,3500,3955,3500,3659.5,3500,3500,3500,3500,9000,6750,2000,1248,0.380100615
24711,9294,13000,14000,12500,11750,16250,14500,11100,14500,12500,38750,26250,5500,3250,0.881877342
27000,15738,21750,20500,20000,20000,23000,21995,16125,21000,20046,40000,28500,7500,4750,0.929323308
24000,14000,19582,20275,19000,18000,20625,19316,21150,19791,20125,46200,27887,9167.5,4750,0.880733945
38218,9500,16200,17500,9500,16000,14250,19000,14250,15250,15750,47500,31000,7500,4750,0.888888889
27745,9500,14250,19521,23125,15875,15000,19292,12863,15900,15000,40151.5,29250,8080,5132,0.707142857
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
25000,11016.5,14250,15558,13824,12500,15750,15750,12250,15541,13750,46000,30591,6000,3500,0.841597192
33500,14700,21000,23500,19625,22203,19000,24000,19500,23812.5,21000,46978.5,35750,10000,5500,0.904
25503.5,6656,9950,11323.5,9157,4412,11500,8000,10500,10500,9718,37500,24421.5,3825,1432,0.81
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
19449.5,9250,11000,10500,8250,7145,13122,10500,9531,10250,10337,36750,22203,5250,2750,0.593763169
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
19355,8598.5,11000,11000,8312.5,7625,12500,9828,10981,9750,10500,37500,22250,4887,2750,0.642004773
16875,8822,11251,10500,7550,6752.5,12500,10493,9500,9750,9902,33948,20000,5062,2750,0.660278746
23250,12500,18000,19924,18750,19145.5,18375,18750,18000,18750,18000,40000,28332,9500,5500,0.845528455
PrivacySuppressed,PrivacySuppressed,9055,PrivacySuppressed,PrivacySuppressed,5499,9500,5499,6422.5,6825,5500,PrivacySuppressed,9500,3500,PrivacySuppressed,0.438423645
13875,6334,10500,9500,9500,9208,11926,11438,9500,10500,9540.5,20000,14875,6334,3167,0.89509587
8994,4750,8423,7199,6156,6397,8226,7832.5,7547.5,8249.5,7199,16500,9500,5445,2920,0.814863103
9500,8640,9186,9500,9500,9189,9500,9500,7429,9342,9500,28332,14312,4159,2747,0.847590462
47000,20000,33631,41000,36126,35641,34233,33595,36824.5,33841,37166,57500,52144,20000,6699,0.921296296
9588,4380,8470.5,7350,6222,6222,9040,7659,9500,8165,7649,10667,9880,4641,2761,0.818883611
9833,4665,7452,8100,8044,8100,7095,7851,8167,7442,8100,13700,11765,4034,2428,0.830029249
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
18835,5500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7658,12782,14000,9500,8742.5,11000,PrivacySuppressed,17832,4750,PrivacySuppressed,0.587301587
6135,5710,6030,6083.5,3666,5710,6107,6232,5945,6042,5997,6333,6333,3167,2884,0.977955912
9500,4829.5,9499,9500,9500,9415,9500,9500,9500,9500,9500,27688,9500,5955,3000,0.880378159
9500,4829.5,9499,9500,9500,9415,9500,9500,9500,9500,9500,27688,9500,5955,3000,0.880378159
9500,4829.5,9499,9500,9500,9415,9500,9500,9500,9500,9500,27688,9500,5955,3000,0.880378159
25607.5,9500,15884.5,20000,17647,12750,19395,20000,9944,15769,17311.5,28882,25544,5963,4462,0.934837093
5500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5931,4300,PrivacySuppressed,9500,1350,PrivacySuppressed,PrivacySuppressed
13000,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,15333,13000,6334,3167,0.788932806
9500,5022,9500,9500,9500,9500,9500,9500,9500,9500,9500,20160,11000,4750,1823,0.902789285
20229,9500,15651,15522.5,14590,14000,18293.5,15500,15000,15500,15000,34129,25000,6875,3569,0.824563165
5500,4000,4750,3500,2750,2750,8000,5000,3500,4500,4000,14724,9000,2250,1600,0.062106406
19000,8500,13500,13654,13000,12499,18750,13404.5,13250,13500,13250,31250,24500,5500,3500,0.77019573
49750,20125,40000,34500,32537,34500,40000,40250,31250,36750,35500,57500,55787,20000,11976,PrivacySuppressed
9993,5014.5,4956.5,5882,5500,4449,6001,5500,5100,5500,5500,17324,10012,2906,1750,0.251041667
22141.5,6625.5,11093.5,14326,13000,10786,12667,12576,10349,11943.5,12207,28281,21000,5395.5,3026,0.892460773
7389,4125,5948,PrivacySuppressed,PrivacySuppressed,5861,7389,PrivacySuppressed,PrivacySuppressed,7389,5463,9778,7778,4278,2750,0.836734694
6500,3634.5,3839.5,4289,4000,3500,4153,4326.5,3500,4139,3832,13125,8000,2250,1350,0.161526398
10050,4749.5,7350,8028,8080,7659.5,7917,7823,7506.5,7963,7581,14308,11777,4550,2750,0.835875534
10050,4749.5,7350,8028,8080,7659.5,7917,7823,7506.5,7963,7581,14308,11777,4550,2750,0.835875534
6333,3167,6333,6333,6333,6112,6333,6333,6333,6333,6333,11400,7917,4614,3063,0.886227545
11458,4540.5,8615,10555,10552,9793,9412,9500,10661.5,9500,9676,16805,13594,5500,2998,0.927288281
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
24411,9497.5,12473,12478,15500,16000,10750,15250,12625,12500,13500,34750,26250,5500,2750,0.636363636
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,
7000,3500,3500,4454,3500,3500,4500,4006,3500,3500,3500,13780,8000,2814,1750,0.37491076
18750,6785.5,9500,14102.5,15625,8250,12500,12351,9500,11822,11793,34459,20000,4750,2123,0.873369506
10556,4750,6333,PrivacySuppressed,PrivacySuppressed,8346.5,6333,7058,4750,7334,6457.5,15649,12128,4000,2591,0.857638889
7283,6040.5,5774.5,7969,7766,3626.5,8013,7000,5505,5933,7000,23000,13500,3588,2000,0.5
8000,4500,4500,4500,3500,3500,4963,4500,4000,4500,4395,17300,9500,2250,1750,0.455118411
25827.5,9500,12667,17014,17000,14500,13000,14252,13259,13668,13486,33795,25729,5236.5,3167,0.800189188
25827.5,9500,12667,17014,17000,14500,13000,14252,13259,13668,13486,33795,25729,5236.5,3167,0.800189188
13765,6090,8574,7609,4462,4375,9500,8450,7375,8000,8000,30464,18025,3500,1750,0.302240512
18139,5500,16063,15188,12000,12813,17156,15002.5,15188,15682,14796.5,24375,20000,9500,4515,0.867413993
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
20500,8300,13558,13356,13750,13000,14890.5,14250,12500,13000,13750,31000,24799,5537,3500,0.817273193
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
22000,11500,12500,13770,13750,12500,12500,13196.5,12500,12500,12785,33035,24962,5687,2750,0.933220147
11389,5695,5755,7660,5500,4500,8030.5,6835,5500,6250,5695,24890,13955.5,3500,2250,0.446660159
7600,3800,7600,PrivacySuppressed,PrivacySuppressed,4584,7600,7600,7600,7600,7600,7917,7600,4584,3800,0.921348315
7500,3500,4000,4500,3500,3127,4750,4500,3500,4097.5,4000,16338,8986,2000,1149,0.300439473
8708,4750,8445,8708,9298,6974,9451,8445,9500,8409,8708,26921,9500,5500,3166,0.890413897
8708,4750,8445,8708,9298,6974,9451,8445,9500,8409,8708,26921,9500,5500,3166,0.890413897
24398.5,12708.5,18000,15750,14000,13942,18883,16412,16000,15435,16250,35500,25446,8334,4750,0.83982684
11183,5257,9500,9744,8232,9500,9500,PrivacySuppressed,PrivacySuppressed,9500,9500,16743,13744,7350,4210,0.824514991
9000,3500,3500,3500,3500,2240,3512,3500,3500,3500,3500,19373,8184,1750,1507,0.658913721
PrivacySuppressed,PrivacySuppressed,7307,PrivacySuppressed,PrivacySuppressed,4230,7307,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7307,4230,PrivacySuppressed,PrivacySuppressed
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.510204082
8716,3500,4500,3500,3500,3500,4750,4284,3611,4284,4034.5,14791.5,8500,2000,1750,0.552016985
9850,5250,5500,4981.5,5250,4206,6500,5500,5250,5500,5250,19128,10753,3500,1750,0.407329105
22500,6250,11108,9500,12000,9500,25000,15125,9500,10000,11000,32000,22250,5500,2750,0.864321608
9499,4750,9498,9499,5500,9451.5,9499,9498,9499,9498,9498,9500,9500,5999,3916,0.907131012
18500,4750,14750,14243,12000,13138,16829,12000,14243,14243,13875,25451,20000,6635,3485,0.864444861
28875,14000,18847,21517.5,20179,14800,20758.5,21197,18749,19000,21510.5,44132.5,33500,9500,3500,0.798319328
9833,4750,6820.5,6968,9500,7667,6767,6968,6587,7236,6818.5,14698,11160,4133,2500,0.791105543
9374,4750,5593,4754,4943,3500,6500,5250,5500,4750,5648.5,20000,11250,2895,1750,0.338651905
21736,9500,12750,12523,10500,10191,14500,12870,11047.5,12750,12000,37750,25250,5500,3500,0.838943553
12500,8519,12500,12500,7500,7945,12500,12500,12500,12500,12500,25000,19750,7500,5500,0.892215569
16500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16500,5500,PrivacySuppressed,PrivacySuppressed
38000,9500,10250,9500,9500,9500,16408.5,15000,9500,9750,9500,36500,20250,5500,2750,0.899280576
7000,4750,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6333,6333,PrivacySuppressed,9833,4750,PrivacySuppressed,0.898148148
6333,3750,5500,PrivacySuppressed,PrivacySuppressed,5500,6735,PrivacySuppressed,PrivacySuppressed,5500,6333,PrivacySuppressed,7500,3750,PrivacySuppressed,PrivacySuppressed
25000,5500,15000,11350,10000,11435,20000,15500,9500,11700,12000,28250,25000,5500,2750,0.915601023
13253,4750,9500,PrivacySuppressed,PrivacySuppressed,9253,9500,9500,9500,9500,9500,16500,13746,4750,3375,0.894039735
9833,5500,6750,PrivacySuppressed,PrivacySuppressed,5500,8226,PrivacySuppressed,PrivacySuppressed,6333,7465,16030,9870,4665,2750,0.842465753
21500,9022,14748.5,14648.5,13925,13350,19000,15000,13430,15000,14000,32499,25500,6250,3500,0.845289801
27728.5,9500,12380,16023,15000,13931,12400,14437.5,12000,13913,13372,41866,27589,6250,3500,0.672702884
5665.5,4104,4500,4769.5,5250,3500,7500,4583,4500,5250,4500,16000,9194,2625,1750,0.330578512
19250,8593,12763,11993,11000,11000,14750,12811,11000,13220.5,11144,37250,24250,5500,2750,0.726134585
17480,7500,9975.5,11000,9500,8600,12750,11000,9421,10382,9808,30340,20000,5060,2750,0.728038508
15000,5500,7065,7937,7770,5500,9500,8002.5,6511,7500,7500,29500,16161,4000,2580,0.727753728
9833,5250,8373.5,PrivacySuppressed,PrivacySuppressed,5795,9500,PrivacySuppressed,PrivacySuppressed,8520,8500,16087,11730,5261,3291,0.87254902
13393.5,6000,9500,13585,10415,7865,13585,10553.5,9855,11677.5,10000,26500,18339,5560,3128,0.880121396
10322,5999,7790,5990,6000,4500,9500,7674,5800,7979,6000,23344,14730,3482,1750,0.368907563
21500,8250,10661.5,11500,11000,10250,14755.5,11250,10169,11000,10843,34561,22816,5500,2864,0.82267951
21500,8750,9951,13273,8750,8750,14375,10500,10250,12250,9462,33375,21500,5500,3250,0.90376569
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
12000,7215.5,9069.5,12000,5500,PrivacySuppressed,PrivacySuppressed,7986,8955,10500,6802.5,27755,14594,4750,2750,0.89516129
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
2500,1999,1750,PrivacySuppressed,PrivacySuppressed,1750,2250,2000,2026,2300,1750,5551,3500,1273,876,0.074450085
3748,2255,3412,4252.5,4263,3411,3647,3412,3412,3412,3414,5054,4420,2712,1706,0.763179238
12485,4750,9500,9833,9833,9833,9786,9833,9613.5,9833,9833,16500,13964,5500,3985,0.884816754
14089.5,8575,9500,8000,5500,5500,11321,9911.5,7976.5,9500,9500,30500,19479,4750,2730,0.451174289
9000,6750,8250,6063,5143,4500,9347.5,7275,7412.5,7500,6873,24300,14850,3500,1636,0.183727034
26077,12000,17385,19786,21000,20562,15500,20500,18750,17541,20465,36000,29325,8251,4750,0.912204234
19586,7500,9188,11000,9500,8375,13125,9630,9372,9500,9500,31250,21073,5114.5,2750,0.775
25500,11000,21250,21564,15750,PrivacySuppressed,PrivacySuppressed,19715.5,15250,21782,17500,28500,27000,7500,4746,0.921161826
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5625
19557.5,5500,14500,PrivacySuppressed,PrivacySuppressed,8000,18084,PrivacySuppressed,PrivacySuppressed,15796,11125,PrivacySuppressed,21258,5500,PrivacySuppressed,0.824324324
23211,10817,17500,20000,18588,18326,18750,18750,18588,19375,18413,30750,25000,9246,4730,0.862068966
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
6365,4750,6365,6365,4565,5142.5,6365,6365,8800,6365,6365,15680,12193.5,4750,2750,0.94224924
9833,3958.5,6521,PrivacySuppressed,PrivacySuppressed,9500,7333.5,PrivacySuppressed,PrivacySuppressed,9500,6333,13606,10974,5500,2750,0.893333333
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
PrivacySuppressed,3500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
4428,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,4012.5,4783,PrivacySuppressed,8415,2250,PrivacySuppressed,0.6625
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9500,9500,9500,9500,PrivacySuppressed,9500,6000,PrivacySuppressed,0.516853933
9467.5,6344.5,8000,7985,4500,5500,9355,8440,6000,7500,7692,24785,15000,3922,2250,0.245210728
PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
23250,8115,11035,19000,14850,PrivacySuppressed,PrivacySuppressed,18500,12825.5,14000,15000,27000,25500,5500,3500,0.872013652
9140,5362.5,6869.5,5437.5,4000,3200,7160,6695,4020,6000,5617.5,17000,10139,3250,1750,0.447870778
13577,8468,9500,9225,4700,3501.5,11662.5,9500,6462.5,9500,8200,28500,18950,3503,1750,0.343220339
24200,5500,9500,13000,12000,12000,11000,12000,12000,14750,11639,31000,24424,5500,2750,0.750929368
8000.5,4451,4750,5372.5,4463,3500,6798,5132.5,4750,5250,4503.5,15934,9500,2750,1542,0.456466069
31000,10500,19000,22000,23681,19750,20000,20000,19000,20000,19500,46753,35270,9500,4750,0.923753666
PrivacySuppressed,3500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2625,4000,4500,3500,4250,3500,8375,6250,2250,1750,PrivacySuppressed
6574,3459,3500,4436.5,3500,2648,4813,3500,3500,3616,3500,14500,7960,1991,1189,0.301470588
